page,chunk
6131,539830-BU-2 ... Lockheed Martin Corp Senior Unsecured ................ ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ................
6131,594918-BJ-2 ... Microsoft Corp Senior Unsecured ....................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ...............
6131,66621#-AA-4 .. Northfield Mountain LLC SECURED ........................ ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ...............
6131,66989H-AJ-7 .. Novartis Capital Corp Senior Unsecured ............... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... .................
6131,67740Q-AG-1 .. Constellation Insurance Inc SENIOR .................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ................
6131,718172-CE-7 .. Philip Morris International In Senior Unsecured ... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ....................
6131,78412D-A#-6 .. SEMCO Energy Inc GTD 1ST MTG SER ...................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ................
6131,85350E-AB-2 .. Standard Industries Inc/NY BMCAUS TL B 1L USD ..... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ....................
6131,857477-BZ-5 .. State Street Corp Senior Unsecured .................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ................
6131,913017-DD-8 .. RTX Corp Senior Unsecured ............................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ..............
6131,94978#-GN-1 .. FURC TRUST NO. 2007-1B EQUIP NTS 07-1B-A ............ ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ..................
6131,884903-AY-1 .. Thomson Reuters Corp Senior Unsecured ................ ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... .................
6131,000000-00-0 .. TATA CAPITAL LTD TATA CAPITAL LTD .................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... .................
6131,000000-00-0 .. TATA CAPITAL LTD TATA CAPITAL LTD .................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... .................
6131,000000-00-0 .. TATA CAPITAL LTD TATA CAPITAL LTD .................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... .................
6131,29278G-AZ-1 .. Enel Finance International NV Senior Unsecured .... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ....................
6131,G2687*-AA-7 .. Dawsongroup PLC SR FRN SER B ............................ ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ..............
6131,R9836#-AA-6 .. WELCO ECO SHIP AS SR SECD NTS SER A .................. ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... .................
6131,R9836#-AB-4 .. WELCO ECO SHIP AS SR SECD NTS SER B .................. ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... .................
6132,14173#-AA-6 .. Caresource Management Group Co P/T CERT 4.670% 03/15/44 ..................................................... ..01/08/2025 . Call 0.0000 ..... ..................... ..................... ..................
6136,90931C-AA-6 .. United Airlines 2019-1 Class A Secured .............. ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ..................
6136,90931G-AA-7 .. United Airlines 2020-1 Class A Secured .............. ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ..................
6136,G4800#-AA-1 .. Insight Partners XI NAV A ............................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ..............
6136,"G2963@-AA-0 .. AP Hansel SPV, LLC A ...................................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ............"
6136,00233*-AA-7 .. AP MAIA HOLDINGS I LLC A ................................ ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ..............
6136,46138G-50-8 .. Invesco Senior Loan ETF INVESCO SENIOR LOAN ETF ... ..01/01/2025 . Paydown .................... .............. 0.000 ..................... ...................... ..................... .....................
6137,464288-51-3 .. iShares iBoxx $ High Yield Cor ISHARES IBOXX HIGH YLD CORP ..................................................... ..01/01/2025 . Paydown .................... .............. 0.000 ..................... .....
6142,000000-00-0 .. BGIF IV Fearless Utility Servi GridTek New Revolver ................................................................. ..01/01/2025 . Paydown .................... ..................... .....................
6142,"000000-00-0 .. Victors Purchaser, LLC. Victors Purchaser, LLC.- DDTL .......................................................... ..01/01/2025 . Paydown .................... ..................... ..................... ...."
6142,000000-00-0 .. A&V Holdings Midco LLC A&V Holdings Midco Term Loan ................................................................. ..01/01/2025 . Paydown .................... ..................... .....................
6142,000000-00-0 .. A&V Holdings Midco LLC A&V Holdings Midco LLC - Delay ......................................................... ..01/01/2025 . Paydown .................... ..................... ..................... .....
6142,000000-00-0 .. A&V Holdings Midco LLC A&V Holdings Midco Revolver ................................................................. ..01/01/2025 . Paydown .................... ..................... ..................... 
6142,000000-00-0 .. BGIF IV Fearless Utility Servi GridTek New Term Loan .......................................................... ..01/01/2025 . Paydown .................... ..................... ..................... .....
6142,000000-00-0 .. BGIF IV Fearless Utility Servi GridTek New DDTL .. ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... .....................
6142,000000-00-0 .. Fire Flow Intermediate Corpora Tailwind Smith Cooper Intermed ............................................ ..01/01/2025 . Paydown .................... ..................... ..................... ..........
6142,"000000-00-0 .. Victors Purchaser, LLC. Victors Purchaser, LLC - TL ................................................................. ..01/01/2025 . Paydown .................... ..................... ....................."
6142,"000000-00-0 .. Advarra Holdings, Inc. ADVARRA HOLDINGS TL 9/13/31INC ................................................... ..01/01/2025 . Paydown .................... ..................... ..................... ..........."
6142,"000000-00-0 .. Advarra Holdings, Inc. ADVARRA HLDGS TLB 9/13/31 REF ........................................................... ..01/01/2025 . Paydown .................... ..................... ..................... ...."
6142,"000000-00-0 .. Vensure Employer Services Inc Vensure Employer Services, Inc .............................................. ..01/01/2025 . Paydown .................... ..................... ..................... ........."
6144,000000-00-0 .. Curia Global Inc AMRI TL B 1L USD ..................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ................
6144,000000-00-0 .. Calpine Corp CPN TL B5 1L USD .......................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ...............
6144,000000-00-0 .. NOURYON USA LLC SPCHEM TL B 1L USD .................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ................
6144,000000-00-0 .. Cimpress USA Inc CMPR TL B 1L USD ..................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ................
6144,000000-00-0 .. First Student Bidco Inc FRSTST TL B 1L USD ......... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ...................
6144,000000-00-0 .. AVSC Holding Corp Project Encore RCF ................. ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... .................
6144,000000-00-0 .. INEOS US FINANCE LLC TERM B ............................. ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ..............
6145,000000-00-0 .. First Student Bidco Inc FRSTST TL C 1L USD ......... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ...................
6145,000000-00-0 .. First Student Bidco Inc FRSTST TL B 1L USD ......... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ...................
6145,"000000-00-0 .. Victors Purchaser, LLC. Victors Purchaser, LLC.- Revol ......................................................... ..01/01/2025 . Paydown .................... ..................... ..................... ...."
6145,00769Q-AG-8 .. Advanced Drainage Systems Inc WMS TL B 1L USD ..... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ....................
6145,02474R-AJ-2 ... American Builders & Contractor TERM B ................ ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ................
6145,05350N-AP-9 ... Avantor Funding Inc AVTR TL B6 1L USD ................ ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ................
6145,13134M-BQ-5 .. Calpine Corp CPN TL B9 1L USD .......................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ...............
6145,28414B-AF-3 .. ELANCO ANIMAL HEALTH INC ELAN TL B 1L USD .......... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ...................
6145,30034U-AC-4 ... EVERI HOLDINGS INC EVRI TL 1L USD ..................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ...............
6145,33718F-AM-2 .. First Student Bidco Inc FRSTST TL C 1L USD ......... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ...................
6145,35905C-AC-9 ... frontdoor Inc FTDR TL B 1L USD ......................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ..............
6145,36473F-AD-0 .. Gannett Holdings LLC GCI TL 1L USD .................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ................
6145,41165Q-AL-1 .. HARBOURVEST PARTNERS LLC HARBOURVEST PARTNERS LP HAPART ........................................................ ..01/01/2025 . Paydown .................... ..................... ..................... ....
6145,50212X-AX-4 .. LPL HOLDINGS INC TL ....................................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ............
6145,513076-BB-4 .. Lamar Media Corp LAMR TL B 1L USD ..................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ................
6145,57163K-AJ-7 .. Marriott Ownership Resorts Inc TL B .................. ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... .................
6145,72814C-AF-5 .. Playtika Holding Corp PLTK TL B 1L USD .............. ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ..................
6145,74983M-AE-7 .. RTX Corp RTX TL A UNSEC USD ............................. ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ..............
6145,76171J-AB-7 .. REYNOLDS CONSUMER PRODUCTS LLC REYNOL TL 1L USD ... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ....................
6145,89364M-CB-8 .. TransDigm Inc TDG TL K 1L USD .......................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ...............
6145,BL3657-50-1 .. First Student Bidco Inc FRSTST TL B 1L USD ......... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ...................
6145,BL3657-52-7 .. First Student Bidco Inc FRSTST TL C 1L USD ......... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ...................
6145,G4768P-AN-1 .. INEOS US FINANCE LLC INEGRP TL B 1L USD ............. ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ..................
6145,G9368P-BC-7 .. Virgin Media Bristol LLC VMED TL N 1L USD .......... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ...................
6145,000000-00-0 .. ICON Luxembourg Sarl ICON LUXEMBOURG SARL ICLR TL B ................................................................. ..01/01/2025 . Paydown .................... ..................... .....................
6145,24736C-BS-2 ... SKYMILES IP LTD DAL TL B 1L USD ....................... ..01/01/2025 . Paydown .................... ..................... ..................... ...................... ..................... ...............
6145,38375B-3G-5 .. Government National Mortgage A GNR 2013-H14 SI 0.000% 05/20/63 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6145,38375B-5S-7 .. Government National Mortgage A GNR 2013-H19 ID 0.000% 05/20/63 ............................................ ..11/01/2025 . Paydown .................... ..................... ..................... .........
6145,38375B-7Z-9 .. Government National Mortgage A GNR 2013-H22 BI 1.566% 08/20/63 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6145,38375B-AE-2 .. Government National Mortgage A GNR 2010-H02 DI 2.363% 02/20/60 ............................................ ..10/01/2025 . Paydown .................... ..................... ..................... .........
6145,38375B-AH-5 .. Government National Mortgage A GNR 2010-H02 GI 2.632% 02/20/60 ............................................ ..11/01/2025 . Paydown .................... ..................... ..................... .........
6145,38375B-G9-7 .. Government National Mortgage A GNR 2013-H02 DI 1.990% 12/20/62 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-GQ-9 .. Government National Mortgage A GNR 2010-H24 FI 1.618% 10/20/60 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-JP-8 .. Government National Mortgage A GNR 2011-H01 IF 1.339% 11/20/60 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-KB-7 .. Government National Mortgage A GNR 2011-H05 AI 1.709% 12/20/60 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-KM-3 .. Government National Mortgage A GNR 2011-H06 FI 1.331% 02/20/61 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-KT-8 .. Government National Mortgage A GNR 2011-H08 CI 0.000% 02/20/61 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-KW-1 .. Government National Mortgage A GNR 2011-H08 DI 0.000% 02/20/61 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-LM-2 .. Government National Mortgage A GNR 2011-H11 AI 1.559% 03/20/61 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-LP-5 .. Government National Mortgage A GNR 2011-H11 BI 1.439% 04/20/61 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-MA-7 .. Government National Mortgage A GNR 2011-H14 CI 1.288% 05/20/61 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-MU-3 .. Government National Mortgage A GNR 2011-H19 IA 1.108% 08/20/61 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-PK-2 .. Government National Mortgage A GNR 2012-H03 IA 0.999% 01/20/62 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-QQ-8 .. Government National Mortgage A GNR 2012-H08 SI 1.207% 04/20/62 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-QY-1 .. Government National Mortgage A GNR 2012-H08 FI 1.354% 04/20/62 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-SB-9 .. Government National Mortgage A GNR 2012-H12 FI 1.112% 05/20/62 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-TS-1 .. Government National Mortgage A GNR 2012-H14 KI 1.029% 07/20/62 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-TZ-5 .. Government National Mortgage A GNR 2012-H15 CI 1.322% 06/20/62 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-UM-2 .. Government National Mortgage A GNR 2012-H18 NI 1.456% 08/20/62 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-Y3-0 .. Government National Mortgage A GNR 2013-H11 FI 0.000% 04/20/63 ............................................ ..09/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-ZF-2 .. Government National Mortgage A GNR 2012-H27 SI 1.795% 10/20/62 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375B-ZT-2 .. Government National Mortgage A GNR 2012-H29 SI 1.769% 10/20/62 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375U-BG-4 .. Government National Mortgage A GNR 2013-H25 SI 1.622% 10/20/63 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375U-EE-6 .. Government National Mortgage A GNR 2014-H03 SI 0.000% 01/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375U-EH-9 ... Government National Mortgage A GNR 2014-H03 AI 0.000% 01/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... ........
6146,38375U-FL-9 .. Government National Mortgage A GNR 2014-H10 AI 1.754% 04/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375U-FN-5 ... Government National Mortgage A GNR 2014-H10 BI 1.450% 04/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... ........
6146,38375U-FR-6 .. Government National Mortgage A GNR 2014-H10 GI 1.726% 04/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6146,38375U-KH-2 ... Government National Mortgage A GNR 2014-H11 BI 1.559% 06/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... ........
6146,38375U-LD-0 .. Government National Mortgage A GNR 2014-H13 CI 1.495% 06/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-LF-5 .. Government National Mortgage A GNR 2014-H13 DI 1.598% 06/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-LQ-1 .. Government National Mortgage A GNR 2014-H14 AI 1.625% 07/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-MZ-0 .. Government National Mortgage A GNR 2014-H16 AI 1.915% 08/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-NX-4 ... Government National Mortgage A GNR 2014-H18 DI 1.585% 09/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... ........
6147,38375U-PB-0 .. Government National Mortgage A GNR 2014-H18 AI 1.865% 09/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-PY-0 .. Government National Mortgage A GNR 2014-H19 GI 1.844% 09/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-QG-8 .. Government National Mortgage A GNR 2014-H20 AI 1.541% 10/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-QJ-2 ... Government National Mortgage A GNR 2014-H20 SI 1.705% 09/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... ........
6147,38375U-QL-7 .. Government National Mortgage A GNR 2014-H20 BI 1.530% 09/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-QS-2 ... Government National Mortgage A GNR 2014-H20 LI 1.649% 10/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... ........
6147,38375U-TL-4 .. Government National Mortgage A GNR 2015-H03 AI 1.484% 12/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-TN-0 .. Government National Mortgage A GNR 2015-H03 BI 1.643% 01/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-TQ-3 ... Government National Mortgage A GNR 2015-H03 CI 1.762% 01/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... ........
6147,38375U-TU-4 ... Government National Mortgage A GNR 2015-H03 EI 2.123% 12/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... ........
6147,38375U-TY-6 .. Government National Mortgage A GNR 2015-H02 BI 1.681% 12/20/64 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-UT-5 ... Government National Mortgage A GNR 2015-H05 CI 1.753% 02/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... ........
6147,38375U-VC-1 .. Government National Mortgage A GNR 2015-H08 DI 1.529% 03/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-VG-2 .. Government National Mortgage A GNR 2015-H08 AI 1.826% 02/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-VY-3 .. Government National Mortgage A GNR 2015-H07 WI 1.672% 02/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-VZ-0 .. Government National Mortgage A GNR 2015-H09 BI 1.755% 03/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-WN-6 .. Government National Mortgage A GNR 2016-H11 CI 1.811% 05/20/66 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-WQ-9 ... Government National Mortgage A GNR 2016-H11 DI 2.088% 05/20/66 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... ........
6147,38375U-XA-3 .. Government National Mortgage A GNR 2016-H11 AI 1.395% 01/20/66 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-XF-2 .. Government National Mortgage A GNR 2016-H11 MI 1.885% 05/20/66 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-ZG-8 .. Government National Mortgage A GNR 2017-H09 GI 1.669% 03/20/67 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38375U-ZL-7 .. Government National Mortgage A GNR 2017-H09 JI 1.651% 03/20/67 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38376E-TN-5 .. Government National Mortgage A GNR 2009-H01 FI 2.128% 11/20/59 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6147,38376R-2Y-1 .. Government National Mortgage A GNR 2017-H12 BI 1.906% 05/20/67 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-3Q-7 .. Government National Mortgage A GNR 2017-H11 VI 1.551% 05/20/67 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-5B-8 .. Government National Mortgage A GNR 2017-H14 VI 1.761% 06/20/67 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-5Z-5 .. Government National Mortgage A GNR 2017-H15 NI 1.600% 07/20/67 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-AA-4 .. Government National Mortgage A GNR 2015-H10 AI 2.290% 04/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-AP-1 .. Government National Mortgage A GNR 2015-H10 GI 1.808% 03/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-AR-7 .. Government National Mortgage A GNR 2015-H10 KI 2.230% 04/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-AX-4 .. Government National Mortgage A GNR 2015-H11 BI 0.000% 04/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-BL-9 .. Government National Mortgage A GNR 2015-H12 CI 1.556% 04/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-BN-5 .. Government National Mortgage A GNR 2015-H12 DI 2.208% 05/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-BZ-8 .. Government National Mortgage A GNR 2015-H12 KI 1.582% 03/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-DA-1 .. Government National Mortgage A GNR 2015-H15 CI 1.963% 06/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-DC-7 .. Government National Mortgage A GNR 2015-H15 DI 2.051% 06/20/65 ............................................ ..11/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-DN-3 ... Government National Mortgage A GNR 2015-H16 TI 2.045% 07/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... ........
6148,38376R-DS-2 ... Government National Mortgage A GNR 2015-H16 LI 2.044% 07/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... ........
6148,38376R-DZ-6 .. Government National Mortgage A GNR 2015-H16 GI 0.000% 07/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-FS-0 .. Government National Mortgage A GNR 2015-H19 LI 2.208% 08/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-FT-8 .. Government National Mortgage A GNR 2015-H19 MI 2.018% 08/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-GS-9 .. Government National Mortgage A GNR 2015-H22 BI 1.856% 09/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-HQ-2 ... Government National Mortgage A GNR 2015-H27 AI 2.046% 09/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... ........
6148,38376R-HT-6 .. Government National Mortgage A GNR 2015-H24 BI 1.634% 08/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-JD-9 ... Government National Mortgage A GNR 2015-H25 AI 1.711% 09/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... ........
6148,38376R-JQ-0 .. Government National Mortgage A GNR 2015-H26 AI 1.877% 10/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-K8-8 .. Government National Mortgage A GNR 2016-H27 DI 1.677% 12/20/66 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-KL-9 .. Government National Mortgage A GNR 2015-H28 CI 1.274% 10/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-LH-7 .. Government National Mortgage A GNR 2015-H30 DI 1.311% 10/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
6148,38376R-LK-0 .. Government National Mortgage A GNR 2015-H30 EI 1.682% 11/20/65 ............................................ ..12/01/2025 . Paydown .................... ..................... ..................... .........
